"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","birthplace","birthplace:confidence","date_of_birth","date_of_birth:confidence","race_ethnicity","race_ethnicity:confidence","religion","religion:confidence","sexual_orientation","sexual_orientation:confidence"
670454382,"FALSE","finalized",3,"2/10/15 3:50","Oakland, Ca",1,"18-Dec-04",1,"White",1,"Na",1,"Straight",1
670454383,"FALSE","finalized",3,"2/10/15 2:07","Croydon, Surrey, England",0.6667,"25-Mar-08",1,"White",1,"Na",1,"Straight",0.6667
670454384,"FALSE","finalized",3,"2/10/15 1:52","Chicago, Il",1,"28-Feb-1903",1,"White",1,"Na",1,"Bisexual",1
670454385,"FALSE","finalized",3,"2/10/15 1:55","Mulhouse, Haut-Rhin, Alsace, France",1,"1-Jul-1902",1,"White",1,"Na",1,"Straight",1
670454386,"TRUE","golden",87,,"Sucha, Galicia, Austria",1,"22-Jun-06",1,"White",1,"Jewish",0.963,"Straight",1
670454387,"FALSE","finalized",3,"2/10/15 1:55","Winchester, In",1,"10-Sep-14",1,"White",1,"Na",1,"Straight",1
670454388,"FALSE","finalized",3,"2/10/15 2:05","Croydon, Surrey, England",1,"25-Mar-08",1,"White",1,"Na",1,"Straight",1
670454389,"FALSE","finalized",3,"2/10/15 1:57","Shipley, Yorkshire, England",1,"5-Jun-28",1,"White",1,"Na",1,"Bisexual",1
670454390,"FALSE","finalized",3,"2/10/15 1:52","New York City",1,"7-Jul-1899",1,"White",1,"Na",0.6571,"Gay",0.6571
670454391,"FALSE","finalized",3,"2/10/15 1:51","Winchester, In",1,"10-Sep-14",1,"White",1,"Na",1,"Straight",1
670454392,"FALSE","finalized",3,"2/10/15 2:06","Vienna, Austria",1,"29-Apr-07",1,"White",1,"Jewish",1,"Straight",1
670454393,"FALSE","finalized",3,"2/10/15 2:13","Berlin, Germany",1,"6-Nov-31",1,"White",1,"Jewish",1,"Straight",1
670454394,"FALSE","finalized",3,"2/10/15 3:56","St. Louis Park, Mn",1,"29-Nov-54",1,"White",1,"Jewish",1,"Straight",1
670454395,"FALSE","finalized",3,"2/10/15 2:29","London, England",1,"30-Dec-06",1,"White",1,"Na",1,"Straight",1
670454396,"FALSE","finalized",3,"2/10/15 2:01","London, England",1,"16-Feb-26",1,"White",1,"Na",1,"Gay",1
670454397,"FALSE","finalized",3,"2/10/15 3:56","Tokyo, Japan",1,"30-May-20",1,"White",1,"Na",1,"Straight",1
